"Animal","Height..cm.","Weight..kg.","Color","Lifespan..years.","Diet","Habitat","Predators","Average.Speed..km.h.","Countries.Found","Conservation.Status","Family","Gestation.Period..days.","Top.Speed..km.h.","Social.Structure","Offspring.per.Birth"
"Aardvark",117.5,52.5,"Grey",25,"Insectivore","Savannas, Grasslands","Lions, Hyenas",40,"Africa","Least Concern","Orycteropodidae",225,40,"Solitary",1
"Aardwolf",45,11,"Yellow-brown",11,"Insectivore","Grasslands, Savannas","Lions, Leopards",27,"Eastern and Southern Africa","Least Concern","Hyaenidae",90,40,"Solitary",3.5
"African Elephant",290,4350,"Grey",65,"Herbivore","Savannah, Forest","Lions, Hyenas",25,"Africa","Vulnerable","Elephantidae",650,40,"Herd-based",1
"African Lion",95,185,"Tan",12,"Carnivore","Grasslands, Savannas","Hyenas, Crocodiles",58,"Africa","Vulnerable","Felidae",101.5,80,"Group-based",3
"African Wild Dog",77.5,27,"Multicolored",11,"Carnivore","Savannahs","Lions, Hyenas",56,"Sub-Saharan Africa","Endangered","Canidae",70,56,"Group-based",11
"Alpine Ibex",84,69.5,"Brown",17.5,"Herbivore","Mountains, Alpine","Wolves, Golden Eagles",60,"European Alps","Least Concern","Bovidae",150,60,"Group-based",1
"Amazon Rainforest Frog",7.5,0.5,"Various",10.5,"Insectivore","Amazon Rainforest","Birds, Snakes",0.55,"Amazon Rainforest","Not Evaluated","Dendrobatidae",12.5,0.8,"Solitary",40
"American Bison",169,659,"Brown",17.5,"Herbivore","Grasslands, Plains","Wolves, Grizzly Bears",48,"North America","Near Threatened","Bovidae",280,56,"Group-based",1
"Anteater",71.5,31.5,"Brown, White",17.5,"Insectivore","Grasslands, Forests","Jaguars, Pumas",24,"Central and South America","Least Concern","Myrmecophagidae",200,24,"Solitary",1
"Arabian Horse",150,690,"Various",27.5,"Herbivore","Middle East, North Africa","Humans, Predators",65,"Middle East, North Africa",NA,"Equidae",336,65,"Herd-based",1
"Arabian Oryx",80,77.5,"White",15,"Herbivore","Desert","Lions, Leopards",55,"Middle East","Vulnerable","Bovidae",225,55,"Herd-based",1
"Arctic Fox",27.5,5.75,"White",4.5,"Omnivore","Tundra","Polar Bears",60,"Arctic regions","Least Concern","Canidae",56,60,"Solitary",7.5
"Arowana",120,6.7,"Silver, Gold, Green",15,"Carnivore, Piscivore","Freshwater Rivers, Lakes","Birds, Larger Fish",24,"South America, Asia","Not Evaluated","Osteoglossidae",NA,32,"Solitary",NA
"Asian Elephant",250,3500,"Grey",70,"Herbivore","Grasslands, Forests","Tigers, Leopards",40,"Asia (Southeast)","Endangered","Elephantidae",650,40,"Herd-based",1
"Atlantic Puffin",27.5,560,"Black, White",22.5,"Carnivore, Piscivore","North Atlantic, Arctic","Gulls, Birds of Prey",40,"North Atlantic, Arctic","Vulnerable","Alcidae",40,80,"Colony-based",1
"Atlantic Spotted Dolphin",225,130,"Gray, White",22.5,"Carnivore","Oceans, Coastal Areas","Sharks, Orcas",52,"Worldwide","Least Concern","Delphinidae",370,52,"Group-based",1
"Australian Fur Seal",136,29,"Brown, Gray",15.5,"Carnivore","Coastal Waters","Sharks, Orcas",32,"Australia, New Zealand","Least Concern","Otariidae",325,32,"Group-based",1
"Axolotl",30,300,"Various",12.5,"Carnivore","Lakes, Canals","Fish, Birds",0.8,"Mexico","Critically Endangered","Ambystomatidae",17.5,0.25,"Solitary",200
"Aye-Aye",36,2.45,"Black, Brown",21.5,"Omnivore, Insectivore","Rainforests","Birds of Prey",32,"Madagascar","Endangered","Daubentoniidae",165,32,"Solitary",1
"Baird's Tapir",91.5,275,"Brown, Black",27.5,"Herbivore","Rainforests, Grasslands","Jaguars, Crocodiles",48,"Central and South America","Endangered","Tapiridae",392.5,48,"Solitary",1
"Bald Eagle",86,4.5,"Brown, White",25,"Carnivore","Forests, Lakes, Coasts","Wolves, Raccoons",120,"North America","Least Concern","Accipitridae",35,120,"Solitary",2
"Banded Palm Civet",56,3.5,"Brown, Black, White",8.5,"Omnivore","Forests","Birds of Prey",16,"Southeast Asia, South Asia","Least Concern","Viverridae",62,16,"Solitary",3.5
"Barbary Macaque",75,9,"Brown, Gray",30,"Herbivore, Omnivore","Forests, Mountains","Leopards, Eagles",30,"Gibraltar, North Africa, Middle East","Endangered","Cercopithecidae",182.5,30,"Group-based",1
"Basking Shark",1100,550,"Gray, Brown",22.5,"Carnivore","Oceans","Orcas, Great White Sharks",21,"Worldwide","Vulnerable","Cetorhinidae",1170,21,"Solitary",3
"Bearded Dragon",60,600,"Various",10.5,"Omnivore","Deserts, Woodlands","Birds, Snakes",52,"Australia","Not Evaluated","Agamidae",55,52,"Solitary",24
"Bengal Fox",37.5,3.25,"Yellowish-gray",7,"Omnivore","Grasslands","Wolves, Birds of Prey",40,"India, Nepal, Bhutan","Least Concern","Canidae",55,40,"Solitary",3.5
